127.0.0.1 - - [14/Mar/2023:18:18:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:09 +0900] "GET /damin/mall/list HTTP/1.1" 200 15916
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:10 +0900] "GET /damin/resources/assets/img/logo-apple.png HTTP/1.1" 200 5709
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:10 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:10 +0900] "GET /damin/resources/assets/img/logo-adobe.png HTTP/1.1" 200 7354
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:10 +0900] "GET /damin/resources/assets/img/logo-nike.png HTTP/1.1" 200 5829
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:10 +0900] "GET /damin/resources/upload/p_image/530_1(2).jpg HTTP/1.1" 200 124987
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:10 +0900] "GET /damin/resources/upload/p_image/5302_1.jpg HTTP/1.1" 200 120778
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:10 +0900] "GET /damin/resources/assets/img/logo-google.png HTTP/1.1" 200 12592
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:10 +0900] "GET /damin/resources/assets/img/logo-netflix.png HTTP/1.1" 200 11039
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:10 +0900] "GET /damin/resources/assets/img/logo-uber.png HTTP/1.1" 200 11270
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:24 +0900] "GET /damin/mall/list HTTP/1.1" 200 15916
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:24 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:29 +0900] "GET /damin/mall/write HTTP/1.1" 500 4795
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:40 +0900] "GET /damin/user/list HTTP/1.1" 200 6678
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:45 +0900] "GET /damin/user/update?mode=update&u_seq=2 HTTP/1.1" 200 10657
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:58 +0900] "GET /damin/user/delete?u_seq=2 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:19:58 +0900] "GET /damin/user/list HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:20:05 +0900] "GET /damin/user/write HTTP/1.1" 200 10527
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:20:11 +0900] "POST /damin/user/idcheck HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:20:45 +0900] "POST /damin/user/save HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:20:46 +0900] "GET /damin/user/list HTTP/1.1" 200 6649
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:20:50 +0900] "GET /damin/user/list HTTP/1.1" 200 6649
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:21:03 +0900] "GET /damin/mall/write HTTP/1.1" 500 4795
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:24:38 +0900] "GET /damin/mall/list HTTP/1.1" 200 15916
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:24:38 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:24:43 +0900] "GET /damin/mall/wirte HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:24:56 +0900] "GET /damin/mall/list HTTP/1.1" 200 15916
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:24:56 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:24:58 +0900] "GET /damin/mall/write HTTP/1.1" 500 4713
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:25:40 +0900] "GET /damin/mall/list HTTP/1.1" 200 15916
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:25:40 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:25:41 +0900] "GET /damin/mall/list HTTP/1.1" 200 15916
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:25:41 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:25:50 +0900] "GET /damin/mall/write HTTP/1.1" 200 9449
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:26:23 +0900] "GET /damin/mall/list HTTP/1.1" 200 15916
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:26:23 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:26:26 +0900] "GET /damin/mall/write HTTP/1.1" 200 9387
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:26:38 +0900] "POST /damin/mall/save HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:26:39 +0900] "GET /damin/mall/list HTTP/1.1" 200 16309
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:26:39 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:26:39 +0900] "GET /damin/resources/upload/p_image/U574LR2_1(5).jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:26:43 +0900] "GET /damin/mall/view?p_seq=14 HTTP/1.1" 200 10508
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:26:43 +0900] "GET /damin/resources/upload/p_image/U574LR2_1(5).jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:26:43 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:26:58 +0900] "GET /damin/mall/write HTTP/1.1" 200 9387
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:05 +0900] "POST /damin/mall/save HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:06 +0900] "GET /damin/mall/list HTTP/1.1" 200 16710
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:06 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:06 +0900] "GET /damin/resources/upload/p_image/U574LR2_1(5).jpg HTTP/1.1" 200 116442
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:06 +0900] "GET /damin/resources/upload/p_image/U574LR2_2(5).jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:11 +0900] "GET /damin/mall/view?p_seq=14 HTTP/1.1" 200 10508
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:11 +0900] "GET /damin/resources/upload/p_image/U574LR2_1(5).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:11 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:18 +0900] "GET /damin/mall/list HTTP/1.1" 200 16710
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:18 +0900] "GET /damin/resources/upload/p_image/U574LR2_1(5).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:18 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:18 +0900] "GET /damin/resources/upload/p_image/U574LR2_2(5).jpg HTTP/1.1" 200 193241
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:18 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:35 +0900] "GET /damin/mall/view?p_seq=14 HTTP/1.1" 200 10508
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:35 +0900] "GET /damin/resources/upload/p_image/U574LR2_1(5).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:35 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:37 +0900] "GET /damin/mall/delete?mode=&p_seq=14 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:37 +0900] "GET /damin/mall/none HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:38 +0900] "GET /damin/mall/list HTTP/1.1" 200 16310
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:38 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:38 +0900] "GET /damin/resources/upload/p_image/U574LR2_2(5).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:38 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:39 +0900] "GET /damin/mall/view?p_seq=15 HTTP/1.1" 200 10510
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:39 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:41 +0900] "GET /damin/mall/delete?mode=&p_seq=15 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:41 +0900] "GET /damin/mall/none HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:41 +0900] "GET /damin/mall/list HTTP/1.1" 200 15916
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:41 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:43 +0900] "GET /damin/mall/view?p_seq=1 HTTP/1.1" 200 11485
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:43 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:27:45 +0900] "GET /damin/mall/update?mode=update&p_seq=1 HTTP/1.1" 200 10616
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:01 +0900] "POST /damin/mall/save HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:01 +0900] "GET /damin/mall/list HTTP/1.1" 200 16322
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:01 +0900] "GET /damin/resources/upload/p_image/530_1(14).jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:01 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:01 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:09 +0900] "GET /damin/mall/list HTTP/1.1" 200 16322
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:09 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:09 +0900] "GET /damin/resources/upload/p_image/530_1(14).jpg HTTP/1.1" 200 124987
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:10 +0900] "GET /damin/mall/list HTTP/1.1" 200 16322
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:10 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:10 +0900] "GET /damin/resources/upload/p_image/530_1(14).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:19 +0900] "GET /damin/mall/view?p_seq=16 HTTP/1.1" 200 11527
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:19 +0900] "GET /damin/resources/upload/p_image/530_1(14).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:19 +0900] "GET /damin/resources/upload/p_image/530_2(15).jpg HTTP/1.1" 200 191298
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:29:19 +0900] "GET /damin/resources/upload/p_image/530_3(12).jpg HTTP/1.1" 200 117564
